"idproductos lya",Categoría,"Nombre comercial",Material,Descripción,Precio,Foto
10000,Comedor,Moderno,"Cedro/Jaquard gris","8 sillas. Largo mesa: 1,70 m","$990,000.00 ","C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\ComedorModerno1024.jpg"
10001,Comedor,"ClÃ¡sico Americano",Caoba,"6 sillas. Largo mesa: 1,60 m","$750,000.00 ","C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\ComedorClasico.jpeg"
10002,Comedor,NÃ³rdico,"Cedro y melamina blanca","6 sillas. Largo mesa: 1,60 m","$680,000.00 ","C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\ComedorNordico.jpg"
10003,Comedor,Pampa,"Madera de roble/esterilla","8 sillas. Largo mesa: 1,70 m","$765,000.00 ","C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\ComedorPampa.jpg"
10004,Comedor,Gervasoni,Cedro,"4 sillas. DiÃ¡metro mesa: 1,50 m","$780,000.00 ","C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\ComedorGervasoni copy.jpg"
10005,Living,Americano,"Pana bordÃ³","SillÃ³n de 3 cuerpos, silla baja y mesa ratona.","$660,000.00 ","C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\Living1.jpg"
10006,Living,Praga,"Pana gris claro","SillÃ³n de 3 cuerpos, mesa ratona y taburete.","$670,000.00 ","C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\LivingPraga1024.jpg"
10007,Living,Moderno,"Pana naranja. CaÃ±o.","SillÃ³n de 3 cuerpos + sillÃ³n individual y mesa ratona.","$690,000.00 ","C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\LivingModerno1024.jpg"
10008,Living,NÃ³rdico,"Pana beige.","2 sillones de dos cuerpos c/u. Mesa ratona.","$785,000.00 ","C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\LivingNordico1024.jpg"
10009,Living,Retro,"Cedro-Jacquard-Cuero ecolÃ³gico","1 sillÃ³n de 2 cuerpos. 3 sillones individuales. Un apoyapiÃ©s.","$1,750,000.00 ","C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\LivingRetro1024.jpg"
10010,Dormitorio,ClÃ¡sico,Caoba,"Cama de 2 plazas. CÃ³moda y 2 mesas de luz","$760,000.00 ","C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\DormitorioClasico1024.jpg"
10011,Dormitorio,City,Cedro,"Cama de 2 plazas. 2 sillones en cuero ecolÃ³gico rojo. Mesa ratona","$1,600,000.00 ","C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\DormitorioCity.jpg"
10012,Dormitorio,Country,"Roble labrado.","Incluye cÃ³moda y mesas de luz","$1,800,000.00 ","C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\DormitorioCountry1024.jpg"
10013,Dormitorio,Blanco,"MatelasÃ© blanco. Pana gris.","Incluye cÃ³moda y mesas de luz","$810,000.00 ","C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\DormitorioBlanco1024.jpg"
10014,Dormitorio,Pampa,Roble.,"Incluye cÃ³moda y mesas de luz","$950,000.00 ","C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\DormitorioPampa1024.jpg"
10015,Exterior,Bet,"Rattan gris oscuro","Sillon de 2 cuerpos + 2 sillones de 1 cuerpo. Mesa de 1,20 m largo.","$797,000.00 ","C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\Exterior1.jpg"
10016,Exterior,Autum,"Rattan color chocolate","SillÃ³n de 4 cuerpos + mesa de 0,80 m de largo","$860,000.00 ","C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\ExteriorAutumn1024.jpg"
10017,Exterior,Lincanray,"Madera de pino pintada","SillÃ³n de 6 cuerpos + mesa ratona + mesa auxiliar","$945,000.00 ","C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\ExteriorLincanray1024.jpg"
10018,Exterior,Valdivia,Cedro,"SillÃ³n de 2 cuerpos y mesa ratona de 1,50 m","$780,000.00 ","C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\JuegoValdivia.jpg"
10019,Exterior,RÃºstico,Cedro,"4 sillones de 2 cuerpos","$905,000.00 ","C:\Users\laura\OneDrive\Documentos\CODO A CODO\Fullstack Python\Lujo y Arte - Muebleria actualizado lau2\static\IMG\JuegoRustico2.jpg"
